City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Bredasdorp,ZA,2021-03-28 19:47:31,-34.5322,20.0403,62.6,82,100,13.8
119,Dicabisagan,PH,2021-03-28 19:47:31,17.0818,122.4157,76.39,87,65,2.35
120,Buckeye,US,2021-03-28 19:45:01,33.3703,-112.5838,84.0,13,0,13.8
121,Portland,US,2021-03-28 19:43:24,45.5234,-122.6762,50.0,66,90,9.22
122,Kemijarvi,FI,2021-03-28 19:47:32,66.7131,27.4306,38.03,96,100,8.75
123,Banda Aceh,ID,2021-03-28 19:47:32,5.5577,95.3222,78.21,81,94,3.58
124,Frumusita,RO,2021-03-28 19:47:32,45.6667,28.0667,44.4,65,100,15.19
125,Tyukhtet,RU,2021-03-28 19:47:32,56.5389,89.3011,23.58,96,58,5.73
126,Edd,ER,2021-03-28 19:47:33,13.9297,41.6925,79.47,69,5,6.02
127,Riberalta,BO,2021-03-28 19:47:33,-10.9833,-66.1,79.97,93,97,1.45
128,Zhigansk,RU,2021-03-28 19:47:33,66.7697,123.3711,-1.75,99,100,3.31
129,Mantua,IT,2021-03-28 19:47:34,45.1667,10.7833,55.99,70,38,4.9
130,Joshimath,IN,2021-03-28 19:47:34,30.5667,79.5667,52.88,57,15,5.61
131,Lagoa,PT,2021-03-28 19:46:45,39.05,-27.9833,59.27,81,100,21.27
132,Igarka,RU,2021-03-28 19:47:34,67.4667,86.5833,-7.94,99,60,8.95
133,Kamyaran,IR,2021-03-28 19:47:34,34.7956,46.9355,41.0,38,0,0.63
134,Andra,RU,2021-03-28 19:47:35,62.5147,65.8878,15.08,93,100,7.54
135,Jaciara,BR,2021-03-28 19:44:27,-15.9653,-54.9683,88.52,49,4,2.17
136,Proletarskiy,RU,2021-03-28 19:47:35,50.7914,35.7731,39.2,56,0,4.47
137,Paoua,CF,2021-03-28 19:47:35,7.2427,16.4406,79.02,53,63,5.01
138,Kutum,SD,2021-03-28 19:47:36,14.2,24.6667,67.12,12,5,16.08
139,Betong,TH,2021-03-28 19:44:32,5.7743,101.0723,71.15,98,44,1.92
140,Qaanaaq,GL,2021-03-28 19:47:36,77.484,-69.3632,-16.26,81,72,3.91
141,Jamestown,US,2021-03-28 19:45:23,42.097,-79.2353,48.0,81,90,17.18
142,Majene,ID,2021-03-28 19:46:29,-3.5403,118.9707,77.52,83,100,3.11
143,Caravelas,BR,2021-03-28 19:47:36,-17.7125,-39.2481,81.16,69,0,8.1
144,Karratha,AU,2021-03-28 19:46:52,-20.7377,116.8463,87.04,45,74,6.82
145,Yerbogachen,RU,2021-03-28 19:47:37,61.2767,108.0108,4.03,100,100,2.06
146,Vanimo,PG,2021-03-28 19:47:37,-2.6741,141.3028,76.53,87,100,4.38
147,La Asuncion,VE,2021-03-28 19:47:37,11.0333,-63.8628,78.98,76,9,17.22
148,Talisay,PH,2021-03-28 19:47:38,10.2447,123.8494,78.8,89,90,4.61
149,Avera,US,2021-03-28 19:47:38,33.194,-82.5271,68.0,83,90,21.85
150,Sorland,NO,2021-03-28 19:47:38,67.667,12.6934,41.0,65,0,17.27
151,Pevek,RU,2021-03-28 19:47:38,69.7008,170.3133,-21.19,100,66,1.68
152,Port Elizabeth,ZA,2021-03-28 19:46:24,-33.918,25.5701,64.4,77,0,13.8
153,Itarema,BR,2021-03-28 19:47:39,-2.9248,-39.9167,80.38,76,12,6.6
154,Sur,OM,2021-03-28 19:47:39,22.5667,59.5289,83.57,39,94,8.08
155,Hofn,IS,2021-03-28 19:47:00,64.2539,-15.2082,32.36,57,66,15.05
156,Berlevag,NO,2021-03-28 19:47:39,70.8578,29.0864,35.6,69,0,16.11
157,Inhambane,MZ,2021-03-28 19:47:06,-23.865,35.3833,77.0,73,20,6.91
158,Kupino,RU,2021-03-28 19:47:40,54.3663,77.2981,29.43,98,100,5.75
159,Khatanga,RU,2021-03-28 19:47:40,71.9667,102.5,-2.78,98,100,6.69
160,Salinopolis,BR,2021-03-28 19:43:09,-0.6136,-47.3561,80.19,81,46,10.18
161,Pontes E Lacerda,BR,2021-03-28 19:47:40,-15.2261,-59.3353,82.94,66,70,3.53
162,La Spezia,IT,2021-03-28 19:47:41,44.1105,9.8434,54.0,81,4,3.18
163,Dubbo,AU,2021-03-28 19:47:41,-32.25,148.6167,50.0,87,61,8.05
164,Muros,ES,2021-03-28 19:47:41,42.7762,-9.0603,60.8,48,0,3.44
165,Naze,JP,2021-03-28 19:43:40,28.3667,129.4833,63.21,83,38,5.39
166,Pacifica,US,2021-03-28 19:47:09,37.6138,-122.4869,64.0,93,1,11.5
167,Isangel,VU,2021-03-28 19:46:51,-19.55,169.2667,78.21,83,5,5.55
168,Lucapa,AO,2021-03-28 19:42:54,-8.4192,20.7447,67.55,93,99,3.18
169,Fegyvernek,HU,2021-03-28 19:47:42,47.2667,20.5333,48.2,40,0,6.91
170,Kardymovo,RU,2021-03-28 19:47:42,54.8902,32.4311,32.36,95,99,5.66
171,Chiautla,MX,2021-03-28 19:47:43,19.5333,-98.8833,84.2,13,20,5.75
172,Griffith,US,2021-03-28 19:47:43,41.5284,-87.4237,48.2,42,75,17.27
173,Coquimbo,CL,2021-03-28 19:43:16,-29.9533,-71.3436,64.4,63,40,9.22
174,Jardim,BR,2021-03-28 19:47:43,-21.4803,-56.1381,90.57,37,41,9.44
175,Benguela,AO,2021-03-28 19:47:44,-12.5763,13.4055,78.49,79,62,2.8
176,Bud,US,2021-03-28 19:47:44,39.447,-86.1758,44.01,70,100,20.15
177,Jalu,LY,2021-03-28 19:47:44,29.0331,21.5482,62.04,31,60,6.33
178,Dikson,RU,2021-03-28 19:46:34,73.5069,80.5464,-25.04,100,96,6.93
179,Makakilo City,US,2021-03-28 19:47:44,21.3469,-158.0858,77.0,60,1,10.36
180,Ulaanbaatar,MN,2021-03-28 19:47:06,47.9077,106.8832,12.2,79,0,2.24
181,Geraldton,AU,2021-03-28 19:47:45,-28.7667,114.6,66.2,82,1,3.44
182,Lorengau,PG,2021-03-28 19:47:45,-2.0226,147.2712,82.04,76,100,7.83
183,Itanagar,IN,2021-03-28 19:47:45,27.1,93.6167,66.4,21,0,4.76
184,Bathsheba,BB,2021-03-28 19:47:46,13.2167,-59.5167,82.4,61,40,20.71
185,Yulara,AU,2021-03-28 19:47:46,-25.2406,130.9889,73.4,56,0,11.5
186,Kiunga,PG,2021-03-28 19:47:46,-6.1219,141.2906,71.33,99,100,3.27
187,Esperance,AU,2021-03-28 19:46:44,-33.8667,121.9,59.0,94,40,5.75
188,Killam,CA,2021-03-28 19:47:46,52.7834,-111.8518,57.2,28,100,10.36
189,Swedru,GH,2021-03-28 19:47:47,5.5371,-0.6998,82.4,83,20,6.91
190,Tasiilaq,GL,2021-03-28 19:46:33,65.6145,-37.6368,19.4,53,20,9.22
191,Poso,ID,2021-03-28 19:47:47,-1.3959,120.7524,77.34,83,100,4.03
192,Auki,SB,2021-03-28 19:47:47,-8.7676,160.7034,78.01,86,36,3.29
193,Kununurra,AU,2021-03-28 19:47:48,-15.7667,128.7333,75.2,94,100,4.14
194,Fairbanks,US,2021-03-28 19:47:48,64.8378,-147.7164,12.0,66,1,5.75
195,Ancud,CL,2021-03-28 19:47:48,-41.8697,-73.8203,68.0,60,20,17.27
196,Lixourion,GR,2021-03-28 19:47:49,38.2019,20.4314,51.8,93,20,4.97
197,Lebu,CL,2021-03-28 19:47:00,-37.6167,-73.65,61.97,72,0,13.49
198,Songea,TZ,2021-03-28 19:47:49,-10.6833,35.65,71.6,88,75,1.61
199,Namibe,AO,2021-03-28 19:47:47,-15.1961,12.1522,73.92,74,42,4.41
200,Saint George,US,2021-03-28 19:45:02,37.1041,-113.5841,70.0,27,1,3.44
201,Erenhot,CN,2021-03-28 19:47:49,43.6475,111.9767,33.39,27,57,7.07
202,Amapa,BR,2021-03-28 19:47:49,1.0,-52.0,76.75,96,100,4.36
203,Huangchuan,CN,2021-03-28 19:47:50,32.1272,115.0394,58.12,75,0,6.51
204,Biltine,TD,2021-03-28 19:47:50,14.5333,20.9167,77.63,12,19,18.61
205,Salym,RU,2021-03-28 19:47:50,60.0625,71.4789,3.36,97,66,4.14
206,San Ramon De La Nueva Oran,AR,2021-03-28 19:47:51,-23.1322,-64.326,68.79,59,87,4.43
207,Hay River,CA,2021-03-28 19:46:05,60.8156,-115.7999,15.8,73,100,16.11
208,Montalvo,EC,2021-03-28 19:47:51,-1.8,-79.3333,86.0,79,93,2.59
209,Meulaboh,ID,2021-03-28 19:47:51,4.1363,96.1285,77.27,86,96,2.37
210,Ust-Tsilma,RU,2021-03-28 19:47:51,65.441,52.1498,33.58,97,100,6.8
211,Mirandela,PT,2021-03-28 19:47:52,41.4874,-7.187,52.0,60,12,3.13
212,Villeneuve-Sur-Lot,FR,2021-03-28 19:47:52,44.5,0.6667,55.99,66,0,3.36
213,Hasaki,JP,2021-03-28 19:47:52,35.7333,140.8333,62.6,94,75,6.91
214,Abu Dhabi,AE,2021-03-28 19:44:53,24.4667,54.3667,75.2,69,0,12.66
215,Erdenet,MN,2021-03-28 19:47:53,49.0333,104.0833,26.47,40,6,4.09
216,Wajid,SO,2021-03-28 19:47:53,3.8093,43.2471,82.2,50,61,18.86
217,Misratah,LY,2021-03-28 19:47:53,32.3754,15.0925,62.78,61,99,13.33
218,Sao Filipe,CV,2021-03-28 19:47:54,14.8961,-24.4956,69.66,73,25,16.2
219,Broome,US,2021-03-28 19:47:54,42.2506,-75.833,59.0,94,90,11.5
220,Hamilton,US,2021-03-28 19:46:55,39.1834,-84.5333,46.99,67,100,5.99
221,Ilam,NP,2021-03-28 19:47:54,26.9167,87.9167,61.93,19,0,7.52
222,Lasa,IT,2021-03-28 19:44:53,46.6166,10.7002,59.0,56,0,3.44
223,Acheng,CN,2021-03-28 19:47:55,45.5454,126.977,39.0,80,0,8.95
224,Nishihara,JP,2021-03-28 19:47:55,26.1842,127.7558,71.6,94,75,3.44
225,Huarmey,PE,2021-03-28 19:47:55,-10.0681,-78.1522,75.36,73,100,9.66
226,Airai,TL,2021-03-28 19:47:56,-8.9266,125.4092,60.28,95,100,2.35
227,Oksfjord,NO,2021-03-28 19:47:56,70.2396,22.3479,32.0,86,20,8.97
228,Alice Springs,AU,2021-03-28 19:44:58,-23.7,133.8833,64.4,77,3,4.61
229,Shetpe,KZ,2021-03-28 19:47:56,44.1667,52.1167,41.79,71,100,13.06
230,Luganville,VU,2021-03-28 19:47:57,-15.5333,167.1667,80.51,84,42,9.19
231,Yankton,US,2021-03-28 19:47:57,42.8711,-97.3973,55.99,46,1,10.36
232,Pervomayskoye,RU,2021-03-28 19:43:47,43.919,46.7102,44.08,73,99,7.63
233,Epe,NG,2021-03-28 19:47:57,6.5841,3.9834,80.69,83,0,6.82
234,Lensk,RU,2021-03-28 19:47:57,60.7253,114.9278,6.44,98,76,3.2
235,Surt,LY,2021-03-28 19:47:58,31.2089,16.5887,61.05,62,78,13.31
236,Sanok,PL,2021-03-28 19:47:58,49.5557,22.2056,35.01,100,38,3.0
237,Vostok,RU,2021-03-28 19:47:35,46.4856,135.8833,32.99,86,100,8.57
238,Gimli,CA,2021-03-28 19:47:59,50.6336,-96.9907,33.8,55,100,14.97
239,Atasu,KZ,2021-03-28 19:47:59,48.6814,71.6433,27.91,92,100,8.43
240,Podporozhye,RU,2021-03-28 19:47:59,60.9112,34.1706,36.68,95,100,7.92
241,Bilma,NE,2021-03-28 19:47:59,18.6853,12.9164,73.94,13,0,8.32
242,Atambua,ID,2021-03-28 19:48:00,-9.1061,124.8925,73.18,90,100,4.63
